Kernel_version,ARCH,nb_options,Sumtotkernel
linux-4.19.1,openrisc,12591,
linux-4.19.1,xtensa,12789,
linux-4.19.1,m68k,12861,
linux-4.19.1,c6x,12586,
linux-4.19.1,arm64,13180,
linux-4.19.1,unicore32,12865,
linux-4.19.1,sparc,12904,
linux-4.19.1,powerpc,13459,
linux-4.20.1,nios2,12765,326789
linux-4.20.1,h8300,12735,
linux-4.20.1,parisc,12925,
linux-4.20.1,s390,13002,
linux-4.20.1,riscv,12890,
linux-4.20.1,arm,14456,
linux-4.20.1,mips,13711,
linux-4.20.1,arc,12929,
linux-4.20.1,microblaze,12873,
linux-4.20.1,hexagon,12743,
linux-4.20.1,csky,12754,
linux-4.20.1,alpha,12954,
linux-4.20.1,ia64,13198,
linux-4.20.1,sh,13245,
linux-4.20.1,um,12825,
linux-4.20.1,x86,13558,
linux-4.20.1,nds32,12757,
linux-4.20.1,openrisc,12744,
linux-4.20.1,xtensa,12943,
linux-4.20.1,m68k,13016,
linux-4.20.1,c6x,12739,
linux-4.20.1,arm64,13338,
linux-4.20.1,unicore32,13019,
linux-4.20.1,sparc,13058,
linux-4.20.1,powerpc,13612,
