cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70518,2018-06-30 11:05:28,435.7,28457440,6632400,8717784,6486808,10654672,12739496,6390703,5403600,7488464,5266483,5047248,7132536,4901328,7328720,9413496,7192931,7865296,9950384,7718192,70519,2018-06-30 11:16:47,433.824,28457440,6632400,8717784,6486745,10654672,12739496,6390674,5403600,7488464,5267610,5051344,7136632,4904956,7328720,9413496,7192931,7865296,9950384,7718192
70521,2018-06-30 11:38:03,343.565,50280096,11318736,13405000,11116124,15381968,17467680,11062374,9049552,11135296,8857451,8545744,10631920,8345656,12760528,14846184,12569646,13739472,15825448,13537076,70522,2018-06-30 11:48:27,339.46,50280096,11318736,13405000,11116124,15381968,17467680,11062357,9049552,11135296,8856204,8545744,10631920,8345300,12760528,14846184,12569645,13739472,15825448,13537073
70524,2018-06-30 12:08:58,297.176,21156888,5002192,7087224,4856632,8967120,11051600,4703322,4142032,6226544,4007293,3937232,6022176,3794184,5469136,7553560,5336781,5817296,7902040,5673521,70525,2018-06-30 12:17:46,297.783,21156888,5002192,7087224,4856623,8967120,11051600,4703859,4142032,6226544,4006503,3937232,6022176,3793604,5469136,7553560,5336780,5817296,7902040,5673520
70527,2018-06-30 12:44:02,327.877,81474784,18649552,20735448,18501917,21385680,23471016,17119358,14004688,16090064,13866925,13165008,15250808,13019928,20853200,22938488,20718064,22200784,24286384,22054745,70528,2018-06-30 12:55:19,322.393,81499400,18657744,20743640,18508464,21389776,23475112,17125398,14008784,16094160,13869846,13169104,15254904,13021984,20857296,22942584,20722802,22208976,24294576,22060605
70530,2018-06-30 13:12:36,328.368,77345280,11174864,13261688,10962542,15156176,17242448,10828753,9032656,11118960,8831534,8418256,10504992,8210380,12587984,14674200,12387202,13583312,15669848,13372223,70531,2018-06-30 13:22:24,326.811,77345280,11174864,13261688,10962542,15156176,17242448,10829043,9032656,11118960,8833362,8418256,10504992,8210036,12587984,14674200,12387200,13583312,15669848,13372221
70728,2018-07-02 15:02:06,373.202,39435424,12293584,14378448,12145462,15959504,18043816,11691986,10098128,12182480,9961481,9606608,11691384,9457540,13432272,15516536,13296364,14284240,16368816,14135862,70729,2018-07-02 15:13:20,387.598,39435424,12293584,14378448,12145461,15959504,18043816,11692539,10098128,12182480,9960834,9606608,11691384,9458100,13432272,15516536,13296362,14284240,16368816,14135860
70536,2018-06-30 14:14:42,209.823,23094000,4190256,6279608,3973081,8368176,10456976,4033827,3412016,5500848,3205455,3260464,5349728,3044696,4755504,6844248,4551152,5169200,7258264,4953880,70537,2018-06-30 14:21:39,209.653,23094000,4190256,6279608,3973084,8368176,10456976,4033789,3412016,5500848,3204477,3260464,5349728,3044252,4755504,6844248,4551155,5169200,7258264,4953881
70539,2018-06-30 14:35:42,244.361,48476184,8684496,10769872,8536891,12485584,14570408,8221245,7087056,9171920,6949726,6628304,8713592,6484336,9515984,11600760,9380058,10130384,12215472,9982778,70540,2018-06-30 14:43:31,242.881,48476184,8684496,10769872,8536890,12485584,14570408,8221047,7087056,9171920,6949743,6624208,8709496,6478948,9515984,11600760,9380058,10130384,12215472,9982778
70542,2018-06-30 15:02:25,301.996,32280744,6750672,8836560,6604983,10506704,12592040,6240388,5329360,7414736,5190703,4575696,6661496,4431788,7410128,9495416,7274134,7913936,9999536,7769173,70543,2018-06-30 15:11:58,307.91,32280744,6750672,8836560,6604972,10506704,12592040,6240198,5325264,7410640,5190052,4579792,6665592,4431948,7410128,9495416,7274133,7913936,9999536,7769173
70545,2018-06-30 15:32:11,301.938,45803792,12047824,14132688,11898054,16070096,18154408,11805299,9418192,11502544,9280236,9127376,11212152,8981860,13407696,15491960,13271683,14517712,16602288,14368414,70546,2018-06-30 15:42:36,295.805,45803840,12047824,14132688,11898664,16070096,18154408,11804324,9430480,11514832,9290934,9119184,11203960,8973088,13407696,15491960,13273275,14517712,16602288,14369073
70548,2018-06-30 16:02:30,462.903,65914280,6173648,8259024,6025486,10056656,12141480,5791489,5116880,7201744,4980274,4858832,6944120,4714024,6775760,8860536,6639348,7226320,9311408,7078532,70549,2018-06-30 16:14:38,468.934,65914296,6173648,8259024,6025288,10056656,12141480,5791347,5120976,7205840,4982184,4858832,6944120,4713072,6775760,8860536,6639250,7226320,9311408,7078667
70551,2018-06-30 16:34:58,381.346,24979904,6397904,8484304,6249567,10305488,12391336,6041687,5357520,7443408,5220750,5099472,7185784,4953852,6950864,9036664,6817480,7372752,9458864,7225493,70552,2018-06-30 16:45:17,380.644,24984112,6397904,8484304,6248652,10305488,12391336,6041848,5357520,7443408,5221352,5099472,7185784,4953924,6950864,9036664,6817555,7372752,9458864,7225596
70554,2018-06-30 17:03:33,213.213,70023576,6746576,8832120,6602426,10654160,12739152,6390721,5579216,7664240,5442420,4645328,6730784,4500004,7373264,9458200,7241587,7848400,9933656,7704235,70555,2018-06-30 17:11:31,215.967,70023440,6750672,8836216,6603388,10654160,12739152,6392308,5579216,7664240,5444000,4645328,6730784,4500120,7377360,9462296,7242567,7852496,9937752,7705781
70557,2018-06-30 17:26:20,222.486,38383752,4587472,6673528,4443488,8630224,10715728,4367818,3641296,5726832,3506516,3547088,5633056,3401608,5107664,7193112,4973047,5517264,7603032,5370733,70558,2018-06-30 17:33:51,227.832,38383752,4587472,6673528,4443495,8630224,10715728,4368030,3637200,5722736,3501785,3542992,5628960,3401004,5107664,7193112,4973058,5517264,7603032,5370757
70560,2018-06-30 17:52:26,421.807,29516928,5440464,7527080,5240997,9577424,11663488,5258093,4391888,6477984,4203307,4142032,6228560,3943716,6161360,8247368,5973238,6665168,8751496,6465729,70561,2018-06-30 18:03:51,428.001,29516928,5440464,7527080,5240984,9577424,11663488,5258153,4391888,6477984,4202839,4142032,6228560,3941752,6161360,8247368,5973240,6665168,8751496,6465729
70563,2018-06-30 18:16:05,148.535,21180632,5874640,7960024,5724806,9860048,11944872,5595201,4862928,6947792,4726232,3953616,6038904,3808640,6398928,8483704,6261198,6812624,8897712,6666541,70564,2018-06-30 18:22:10,152.902,21180632,5874640,7960024,5724806,9860048,11944872,5595188,4858832,6943696,4723187,3953616,6038904,3807932,6398928,8483704,6261199,6812624,8897712,6666541
70566,2018-06-30 18:53:41,920.727,233398120,7307536,9396112,7138480,11190544,13278568,6904621,5959952,8048008,5801203,5558544,7647024,5390740,8007952,10095920,7852759,8528144,10616432,8360465,70567,2018-06-30 19:14:27,920.435,233398296,7307536,9396112,7138050,11190544,13278568,6903363,5955856,8043912,5799704,5554448,7642928,5390328,8007952,10095920,7852170,8528144,10616432,8360057
70569,2018-06-30 19:34:44,301.229,33467632,9848272,11932792,9702908,13661648,15745616,9397424,7968208,10052208,7834409,7505360,9589792,7360100,10831312,12915224,10697473,11544016,13628248,11399336,70570,2018-06-30 19:43:35,297.199,33467632,9848272,11932792,9702909,13661648,15745616,9397413,7968208,10052208,7834319,7501264,9585696,7358984,10831312,12915224,10697473,11544016,13628248,11399336
70572,2018-06-30 20:04:30,237.222,20432176,4420560,6505936,4270800,8385488,10470312,4117774,3638224,5723088,3499074,3453904,5539192,3306780,4850640,6935416,4714950,5166032,7251120,5016831,70573,2018-06-30 20:12:18,237.726,20432176,4420560,6505936,4270810,8381392,10466216,4117068,3638224,5723088,3499425,3453904,5539192,3306360,4850640,6935416,4714948,5166032,7251120,5016830
70575,2018-06-30 20:32:06,355.151,42617448,12173776,14259320,12028430,15778256,17863248,11514730,9871824,11956848,9735145,9150928,11236384,9006128,13283792,15368728,13152041,14119376,16204632,13974418,70576,2018-06-30 20:42:49,351.366,42617448,12173776,14259320,12028430,15778256,17863248,11514724,9871824,11956848,9735743,9150928,11236384,9008860,13283792,15368728,13152042,14119376,16204632,13974417
70578,2018-06-30 20:58:53,267.356,22455968,4776912,6862288,4631238,8676304,10761128,4409398,3953616,6038480,3817977,3752912,5838200,3608760,5219280,7304056,5086219,5518288,7603376,5369730,70579,2018-06-30 21:07:30,273.051,22455968,4776912,6862288,4631105,8676304,10761128,4409904,3953616,6038480,3818001,3757008,5842296,3609496,5219280,7304056,5086194,5518288,7603376,5369708
71950,2018-07-03 15:56:30,435.237,50711208,14632720,16719752,14463288,18179856,20266344,13891750,11810576,13897096,11650524,11179792,13266736,11013344,16066320,18152752,15908036,17090320,19177072,16919857,71951,2018-07-03 16:09:39,464.518,50711208,14632720,16719752,14463282,18179856,20266344,13891837,11810576,13897096,11651269,11179792,13266736,11009872,16066320,18152752,15908035,17090320,19177072,16919856
73079,2018-07-04 10:57:01,705.332,25644560,8171472,10257536,8027104,12099536,14185040,7835767,6664144,8749680,6529711,5332944,7418912,5188692,8953808,11039256,8822245,9605072,11690840,9461097,73096,2018-07-04 11:13:08,716.668,25644560,8171472,10257536,8027096,12099536,14185040,7835807,6664144,8749680,6530548,5332944,7418912,5188268,8953808,11039256,8822250,9605072,11690840,9461108
70587,2018-06-30 22:39:43,422.947,126856688,14542288,16628552,14340660,19391952,21477664,15073249,10634704,12720448,10441879,10057168,12143344,9854820,17737168,19822824,17548005,19969488,22055464,19765809,70588,2018-06-30 22:52:24,425.044,126856664,14542288,16628552,14340987,19396048,21481760,15073466,10655184,12740928,10460681,10069456,12155632,9868484,17737168,19822824,17548181,19969488,22055464,19766239
73193,2018-07-04 12:47:20,170.093,24332048,5379024,7464056,5231104,9323472,11407952,5060302,4391888,6476400,4256691,4096976,6181920,3952448,5899216,7983640,5764591,6263760,8348504,6118206,73198,2018-07-04 12:54:03,168.989,24332048,5379024,7464056,5231102,9323472,11407952,5060253,4391888,6476400,4256540,4096976,6181920,3953392,5899216,7983640,5764592,6263760,8348504,6118206
70593,2018-06-30 23:44:18,599.838,35856696,8523728,10609784,8379468,12177360,14262864,7915437,6864848,8950384,6731106,5459920,7545888,5315936,9375696,11461144,9243246,10026960,12112728,9881778,70594,2018-06-30 23:58:38,600.541,35856696,8523728,10609784,8379474,12177360,14262864,7915359,6864848,8950384,6729740,5464016,7549984,5319280,9375696,11461144,9243248,10026960,12112728,9881779
70596,2018-07-01 00:19:51,428.262,64859424,18817488,20903376,18670958,21901776,23987112,17637989,14836176,16921552,14698141,12423632,14509432,12277448,20648400,22733688,20513136,22073808,24159408,21925831,70597,2018-07-01 00:31:52,423.085,64859424,18817488,20903376,18670959,21901776,23987112,17637944,14836176,16921552,14699384,12423632,14509432,12276520,20648400,22733688,20513136,22073808,24159408,21925831
70599,2018-07-01 00:47:32,213.698,30648472,4988880,7075280,4842864,8900560,10986408,4635132,4177872,6263760,4041674,4001744,6088056,3854980,5410768,7496568,5276952,5717968,7804080,5572705,70600,2018-07-01 00:54:36,214.172,30648472,4988880,7075280,4842415,8900560,10986408,4635285,4177872,6263760,4041844,4001744,6088056,3855880,5410768,7496568,5276975,5717968,7804080,5572624
